,oncopanel_v1,oncopanel_v2,oncopanel_v3,msk_impact341,msk_impact410,msk_impact468,vicc_01_t5a,vicc_01_t7
SMC3,O,O,O,,,,,
STAT6,O,O,O,,,,,
TCEB1,,,O,,O,O,,
TP53BP1,,,O,,,O,,O
WRN,O,O,O,,,,,
XPA,O,O,O,,,,,
XPC,O,O,O,,,,,
XRCC3,,,O,,,,O,O
BABAM1,,,O,,,O,,
BIRC3,,,,,O,O,,
CD58,O,O,,,,,,
CDK1,O,O,,,,,,
CDK2,O,O,,,,,,
CDK5,O,O,,,,,,
CDK9,O,O,,,,,,
CRTC2,O,O,,,,,,
DMD,O,O,,,,,,
FKBP9,O,O,,,,,,
FOXO1,,,,,O,O,,
GALNT12,,,O,,,,,O
GEN1,,,O,,,,,O
GLI3,O,O,,,,,,
GSTM5,O,O,,,,,,
IKZF3,O,O,,,,,,
KDM6B,O,O,,,,,,
LMO3,O,O,,,,,,
NTHL1,,,O,,,O,,
PRAME,O,O,,,,,,
PRKCZ,O,O,,,,,,
PRPF40B,O,O,,,,,,
PRPF8,O,O,,,,,,
PRSS1,,,O,,,,,O
PSMD13,O,O,,,,,,
PTK2,O,O,,,,,,
RBL2,O,O,,,,,,
RHPN2,O,O,,,,,,
RPL26,O,O,,,,,,
RSPO2,,,O,,,,,O
SF1,O,O,,,,,,
SLX4,,,O,,,O,,
SMC1A,O,O,,,,,,
SOS1,,,O,,,O,,
SS18,,O,O,,,,,
STAG1,O,O,,,,,,
TCF7L1,O,O,,,,,,
TERC,,O,,,,,,O
WHSC1,,,O,,,O,,
WHSC1L1,,,O,,,O,,
ZNF708,O,O,,,,,,
ZNRF3,,,O,,,,,O
ABCB11,,,O,,,,,
ARHGAP35,,,O,,,,,
ARHGEF12,,,O,,,,,
BCL11B,,,O,,,,,
BRCC3,,,O,,,,,
BRD3,,,O,,,,,
BRE,,,O,,,,,
CADM2,,O,,,,,,
CBFA2T3,,,O,,,,,
CDH4,,,O,,,,,
COL7A1,,,O,,,,,
DCLRE1C,,,O,,,,,
DDB1,,,O,,,,,
DEPDC5,,O,,,,,,
DIS3L2,,,O,,,,,
DKC1,,,O,,,,,
DMC1,,,O,,,,,
DOCK8,,,O,,,,,
EGLN1,,,O,,,,,
ELANE,,,O,,,,,
EME1,,,O,,,,,
ENG,,,O,,,,,
ERCC1,,,O,,,,,
ERCC6,,,O,,,,,
EXO1,,,O,,,,,
FAH,,,O,,,,,
FAN1,,,O,,,,,
FANCB,,,O,,,,,
GBA,,,O,,,,,
